Name,Code,Date,Open,Close,High,Low,Volume,First,Last
S*Mobarakeh Steel-a,FOLD,20190203,1546,1521.76,1557,1503,19919186,1542.11,1532.57
S*Mobarakeh Steel-a,FOLD,20190204,1522,1538.30,1558,1524,11636611,1526.53,1541.79
S*Mobarakeh Steel-a,FOLD,20190205,1538,1564.69,1583,1526,25499269,1526.21,1573.91
S*Mobarakeh Steel-a,FOLD,20190206,1565,1565.64,1574,1555,16688733,1573.91,1567.55
S*Mobarakeh Steel-a,FOLD,20190210,1566,1559.92,1585,1549,9657438,1567.23,1550.06
S*Mobarakeh Steel-a,FOLD,20190212,1560,1554.19,1574,1547,14448155,1564.37,1551.65
S*Mobarakeh Steel-a,FOLD,20190220,1554,1678.75,1720,1659,137718369,1658.91,1714.02
S*Mobarakeh Steel-a,FOLD,20190223,1679,1761.42,1763,1735,201549362,1745.99,1762.52
S*Mobarakeh Steel-a,FOLD,20190224,1761,1788.42,1805,1753,89210761,1791.73,1779.61
S*Mobarakeh Steel-a,FOLD,20190225,1788,1830.86,1862,1792,65568770,1791.73,1839.13
S*Mobarakeh Steel-a,FOLD,20190226,1831,1804.96,1835,1780,42152442,1802.20,1795.04
S*Mobarakeh Steel-a,FOLD,20190227,1805,1793.94,1815,1783,29809873,1791.18,1782.91
S*Mobarakeh Steel-a,FOLD,20190302,1794,1757.01,1802,1741,30955210,1801.10,1741.58
S*Mobarakeh Steel-a,FOLD,20190303,1757,1744.33,1757,1726,32356501,1740.48,1745.44
S*Mobarakeh Steel-a,FOLD,20190304,1744,1745.44,1766,1736,29182731,1744.88,1737.17
S*Mobarakeh Steel-a,FOLD,20190305,1745,1732.76,1747,1714,26497564,1741.58,1736.07
S*Mobarakeh Steel-a,FOLD,20190306,1733,1736.07,1763,1728,33367510,1731.11,1746.54
S*Mobarakeh Steel-a,FOLD,20190309,1736,1733.31,1742,1720,26631513,1735.52,1728.35
S*Mobarakeh Steel-a,FOLD,20190310,1733,1766.93,1809,1720,63700618,1725.04,1784.57
S*Mobarakeh Steel-a,FOLD,20190311,1767,1847.40,1855,1788,128488094,1788.42,1818.74
S*Mobarakeh Steel-a,FOLD,20190312,1847,1876.61,1898,1824,53047535,1854.01,1883.77
S*Mobarakeh Steel-a,FOLD,20190313,1877,1912.98,1943,1857,80902768,1889.28,1876.61
S*Mobarakeh Steel-a,FOLD,20190316,1913,1910.22,1927,1874,37889433,1893.14,1906.92
S*Mobarakeh Steel-a,FOLD,20190317,1910,1889.83,1915,1875,41393814,1915.18,1880.46
S*Mobarakeh Steel-a,FOLD,20190318,1890,1916.84,1945,1882,44997647,1895.34,1912.43
S*Mobarakeh Steel-a,FOLD,20190319,1917,1937.23,1952,1918,47425139,1927.31,1939.43
S*Mobarakeh Steel-a,FOLD,20190325,1937,1932.27,1946,1927,28121230,1945.50,1928.96
S*Mobarakeh Steel-a,FOLD,20190326,1932,1927.31,1939,1918,18896498,1937.78,1939.43
S*Mobarakeh Steel-a,FOLD,20190327,1927,1960.38,1976,1929,23757584,1944.39,1974.71
S*Mobarakeh Steel-a,FOLD,20190330,1960,2031.47,2056,1987,47453747,1986.83,2039.19
S*Mobarakeh Steel-a,FOLD,20190331,2031,2025.41,2057,1990,28159704,2039.19,2022.66
S*Mobarakeh Steel-a,FOLD,20190406,2025,2013.84,2030,1996,23433538,2023.21,2025.41
S*Mobarakeh Steel-a,FOLD,20190407,2014,2055.17,2078,2023,37421159,2024.31,2039.19
S*Mobarakeh Steel-a,FOLD,20190408,2055,2041.95,2073,1980,80089704,2013.29,2052.42
S*Mobarakeh Steel-a,FOLD,20190409,2042,2070.05,2093,2039,95166991,2050.21,2084.38
S*Mobarakeh Steel-a,FOLD,20190410,2070,2165.95,2173,2094,195084157,2105.33,2173.11
S*Mobarakeh Steel-a,FOLD,20190413,2166,2169.26,2205,2138,58430145,2204.53,2144.46
S*Mobarakeh Steel-a,FOLD,20190414,2169,2160.99,2182,2133,48980107,2141.15,2171.46
S*Mobarakeh Steel-a,FOLD,20190415,2161,2233.19,2257,2178,84106222,2180.83,2232.09
S*Mobarakeh Steel-a,FOLD,20190416,2233,2216.10,2239,2177,75869278,2232.09,2185.24
S*Mobarakeh Steel-a,FOLD,20190417,2216,2192.40,2210,2161,43966566,2177.52,2187.44
S*Mobarakeh Steel-a,FOLD,20190420,2192,2206.18,2216,2194,52190645,2203.98,2207.84
S*Mobarakeh Steel-a,FOLD,20190422,2206,2195.16,2232,2173,55150517,2217.76,2176.97
S*Mobarakeh Steel-a,FOLD,20190423,2195,2190.20,2205,2162,38052018,2161.54,2179.18
S*Mobarakeh Steel-a,FOLD,20190424,2190,2200.12,2216,2184,43630592,2201.22,2211.14
S*Mobarakeh Steel-a,FOLD,20190427,2200,2199.57,2219,2188,37091902,2196.81,2218.86
S*Mobarakeh Steel-a,FOLD,20190428,2200,2263.50,2287,2227,66816031,2226.57,2270.67
S*Mobarakeh Steel-a,FOLD,20190429,2264,2358.30,2376,2264,205588050,2264.05,2376.48
S*Mobarakeh Steel-a,FOLD,20190430,2358,2397.43,2442,2337,61597932,2436.00,2385.85
S*Mobarakeh Steel-a,FOLD,20190501,2397,2420.02,2449,2364,44306231,2367.11,2429.39
S*Mobarakeh Steel-a,FOLD,20190504,2420,2472.93,2508,2426,58207882,2430.49,2481.75
S*Mobarakeh Steel-a,FOLD,20190505,2473,2479.54,2535,2397,64536009,2535.21,2444.82
S*Mobarakeh Steel-a,FOLD,20190506,2480,2367.11,2449,2356,143365604,2448.68,2356.09
S*Mobarakeh Steel-a,FOLD,20190507,2367,2323.57,2386,2260,86917031,2342.31,2361.60
S*Mobarakeh Steel-a,FOLD,20190508,2324,2389.71,2419,2333,66752568,2342.31,2407.35
S*Mobarakeh Steel-a,FOLD,20190511,2390,2321.37,2392,2275,72487944,2319.72,2303.73
S*Mobarakeh Steel-a,FOLD,20190512,2321,2273.97,2342,2215,54223782,2265.15,2300.43
S*Mobarakeh Steel-a,FOLD,20190513,2274,2332.94,2357,2298,31581771,2298.22,2341.76
S*Mobarakeh Steel-a,FOLD,20190514,2333,2365.46,2392,2326,36115999,2342.31,2331.29
S*Mobarakeh Steel-a,FOLD,20190515,2365,2339.56,2370,2321,22185485,2342.31,2331.84
S*Mobarakeh Steel-a,FOLD,20190518,2340,2307.59,2348,2271,27782110,2342.31,2287.75
S*Mobarakeh Steel-a,FOLD,20190519,2308,2293.81,2315,2272,34848004,2276.18,2298.77
S*Mobarakeh Steel-a,FOLD,20190520,2294,2307.59,2342,2287,33957022,2287.20,2308.14
S*Mobarakeh Steel-a,FOLD,20190521,2308,2367.11,2399,2315,45369223,2314.76,2367.11
S*Mobarakeh Steel-a,FOLD,20190522,2367,2354.99,2388,2342,17685100,2367.66,2355.54
S*Mobarakeh Steel-a,FOLD,20190525,2355,2342.86,2369,2325,17147374,2325.23,2347.27
S*Mobarakeh Steel-a,FOLD,20190526,2343,2363.26,2386,2342,30832557,2342.31,2345.07
S*Mobarakeh Steel-a,FOLD,20190528,2363,2479.54,2481,2425,190310337,2424.98,2481.20
S*Mobarakeh Steel-a,FOLD,20190529,2480,2480.10,2516,2453,30665657,2515.92,2463.56
S*Mobarakeh Steel-a,FOLD,20190601,2480,2419.47,2468,2392,45032953,2466.32,2415.06
S*Mobarakeh Steel-a,FOLD,20190602,2419,2416.72,2441,2394,46946800,2397.43,2408.45
S*Mobarakeh Steel-a,FOLD,20190603,2417,2416.72,2424,2411,36423696,2423.88,2414.51
S*Mobarakeh Steel-a,FOLD,20190608,2417,2412.86,2449,2397,24913408,2424.98,2418.92
S*Mobarakeh Steel-a,FOLD,20190609,2413,2449.23,2468,2398,42838835,2398.53,2424.98
S*Mobarakeh Steel-a,FOLD,20190610,2449,2434.35,2464,2420,34735005,2459.70,2420.02
S*Mobarakeh Steel-a,FOLD,20190611,2434,2415.06,2443,2403,22348465,2442.07,2408.45
S*Mobarakeh Steel-a,FOLD,20190612,2415,2415.06,2428,2395,41510171,2424.98,2402.94
S*Mobarakeh Steel-a,FOLD,20190615,2415,2389.71,2406,2370,33688105,2372.07,2397.43
S*Mobarakeh Steel-a,FOLD,20190616,2390,2411.20,2486,2370,55241225,2370.42,2391.91
S*Mobarakeh Steel-a,FOLD,20190617,2411,2396.87,2453,2375,38400053,2390.81,2383.65
S*Mobarakeh Steel-a,FOLD,20190618,2397,2424.43,2462,2396,51555380,2431.04,2411.20
S*Mobarakeh Steel-a,FOLD,20190619,2424,2397.98,2424,2388,42625991,2424.43,2391.91
S*Mobarakeh Steel-a,FOLD,20190622,2398,2405.69,2425,2370,27758329,2369.87,2408.45
